MOV-0000001,STR-001,SKU-101,SALE,-32,2026-07-06T12:50:00Z
MOV-0000002,STR-001,SKU-101,SALE,-41,2026-07-07T17:13:00Z
MOV-0000003,STR-001,SKU-101,SALE,-43,2026-07-08T11:24:00Z
MOV-0000004,STR-001,SKU-101,SALE,-42,2026-07-09T18:37:00Z
MOV-0000005,STR-001,SKU-101,SALE,-49,2026-07-10T10:08:00Z
MOV-0000006,STR-001,SKU-101,SALE,-61,2026-07-11T18:22:00Z
MOV-0000007,STR-001,SKU-101,DELIVERY,328,2026-07-12T06:09:00Z
MOV-0000008,STR-001,SKU-101,SALE,-50,2026-07-12T16:12:00Z
MOV-0000009,STR-001,SKU-101,SALE,-38,2026-07-13T11:03:00Z
MOV-0000010,STR-001,SKU-101,SALE,-37,2026-07-14T14:51:00Z
MOV-0000011,STR-001,SKU-101,SALE,-51,2026-07-15T07:47:00Z
MOV-0000012,STR-001,SKU-101,SALE,-48,2026-07-16T15:04:00Z
MOV-0000013,STR-001,SKU-101,SALE,-54,2026-07-17T13:42:00Z
MOV-0000014,STR-001,SKU-101,SALE,-50,2026-07-18T09:00:00Z
MOV-0000015,STR-001,SKU-101,DELIVERY,306,2026-07-19T06:53:00Z
MOV-0000016,STR-001,SKU-101,SALE,-51,2026-07-19T12:13:00Z
MOV-0000017,STR-001,SKU-101,SALE,-29,2026-07-20T10:58:00Z
MOV-0000018,STR-001,SKU-101,SALE,-44,2026-07-21T10:36:00Z
MOV-0000019,STR-001,SKU-101,SALE,-36,2026-07-22T12:58:00Z
MOV-0000020,STR-001,SKU-101,SALE,-48,2026-07-23T14:48:00Z
MOV-0000021,STR-001,SKU-101,SALE,-44,2026-07-24T08:57:00Z
MOV-0000022,STR-001,SKU-101,SALE,-54,2026-07-25T14:42:00Z
MOV-0000023,STR-001,SKU-101,DELIVERY,297,2026-07-26T06:39:00Z
MOV-0000024,STR-001,SKU-101,SALE,-42,2026-07-26T12:11:00Z
MOV-0000025,STR-001,SKU-101,SALE,-30,2026-07-27T13:57:00Z
MOV-0000026,STR-001,SKU-101,SALE,-35,2026-07-28T16:16:00Z
MOV-0000027,STR-001,SKU-101,SALE,-46,2026-07-29T17:26:00Z
MOV-0000028,STR-001,SKU-101,SALE,-47,2026-07-30T16:32:00Z
MOV-0000029,STR-001,SKU-101,SALE,-45,2026-07-31T07:36:00Z
MOV-0000030,STR-001,SKU-101,SALE,-52,2026-08-01T12:17:00Z
MOV-0000031,STR-001,SKU-101,DELIVERY,295,2026-08-02T06:14:00Z
MOV-0000032,STR-001,SKU-101,SALE,-42,2026-08-02T13:46:00Z
MOV-0000033,STR-001,SKU-101,SALE,-40,2026-08-03T16:25:00Z
MOV-0000034,STR-001,SKU-101,SALE,-45,2026-08-04T09:49:00Z
MOV-0000035,STR-001,SKU-101,SALE,-41,2026-08-05T13:00:00Z
MOV-0000036,STR-001,SKU-101,SALE,-45,2026-08-06T11:27:00Z
MOV-0000037,STR-001,SKU-101,SALE,-37,2026-08-07T11:02:00Z
MOV-0000038,STR-001,SKU-101,SALE,-45,2026-08-08T08:08:00Z
MOV-0000039,STR-001,SKU-101,DELIVERY,270,2026-08-09T06:17:00Z
MOV-0000040,STR-001,SKU-101,SALE,-46,2026-08-09T11:20:00Z
MOV-0000041,STR-001,SKU-101,SALE,-30,2026-08-10T10:00:00Z
MOV-0000042,STR-001,SKU-101,SALE,-35,2026-08-11T14:37:00Z
MOV-0000043,STR-001,SKU-101,SALE,-30,2026-08-12T10:58:00Z
MOV-0000044,STR-001,SKU-101,SALE,-32,2026-08-13T18:33:00Z
MOV-0000045,STR-001,SKU-101,SALE,-50,2026-08-14T11:41:00Z
MOV-0000046,STR-001,SKU-101,ADJUSTMENT,2,2026-08-14T12:35:00Z
MOV-0000047,STR-001,SKU-101,SALE,-49,2026-08-15T14:52:00Z
MOV-0000048,STR-001,SKU-101,DELIVERY,298,2026-08-16T06:56:00Z
MOV-0000049,STR-001,SKU-101,SALE,-47,2026-08-16T08:38:00Z
MOV-0000050,STR-001,SKU-101,SALE,-33,2026-08-17T07:58:00Z
MOV-0000051,STR-001,SKU-101,SALE,-35,2026-08-18T08:28:00Z
MOV-0000052,STR-001,SKU-101,SALE,-33,2026-08-19T18:57:00Z
MOV-0000053,STR-001,SKU-101,SALE,-44,2026-08-20T09:05:00Z
MOV-0000054,STR-001,SKU-101,SALE,-56,2026-08-21T11:38:00Z
MOV-0000055,STR-001,SKU-101,SALE,-50,2026-08-22T07:33:00Z
MOV-0000056,STR-001,SKU-101,DELIVERY,225,2026-08-23T06:26:00Z
MOV-0000057,STR-001,SKU-101,SALE,-41,2026-08-23T09:57:00Z
MOV-0000058,STR-001,SKU-101,SALE,-27,2026-08-24T14:37:00Z
MOV-0000059,STR-001,SKU-101,SALE,-23,2026-08-25T12:18:00Z
MOV-0000060,STR-001,SKU-101,SALE,-26,2026-08-26T17:22:00Z
MOV-0000061,STR-001,SKU-101,SALE,-30,2026-08-27T07:38:00Z
MOV-0000062,STR-001,SKU-101,SALE,-39,2026-08-28T18:23:00Z
MOV-0000063,STR-001,SKU-101,SALE,-39,2026-08-29T14:48:00Z
MOV-0000064,STR-001,SKU-101,DELIVERY,83,2026-08-30T06:08:00Z
MOV-0000065,STR-001,SKU-101,SALE,-35,2026-08-30T17:01:00Z
MOV-0000066,STR-001,SKU-101,SALE,-19,2026-08-31T14:25:00Z
MOV-0000067,STR-001,SKU-101,SALE,-29,2026-09-01T12:26:00Z
MOV-0000068,STR-001,SKU-102,SALE,-28,2026-07-06T14:01:00Z
