94103,SoMa,San Francisco,37.777,-122.4085,115000,31000,16500,37.0,59.8,79.1,57.5,65.5
94110,Mission District,San Francisco,37.757,-122.418,125000,71000,30000,36.0,73.9,46.9,87.5,69.4
94133,North Beach,San Francisco,37.8,-122.409,105000,26000,14000,44.0,73.5,70.5,42.1,62.0
94102,Hayes Valley / Civic Center,San Francisco,37.7765,-122.424,80000,33000,19000,39.0,52.9,45.1,49.4,49.1
94123,Marina / Cow Hollow,San Francisco,37.8,-122.437,190000,25000,14000,36.0,47.5,46.5,36.6,43.5
94118,Inner Richmond / Laurel Heights,San Francisco,37.782,-122.462,145000,41000,18000,41.0,73.9,78.8,77.6,76.8
94107,Potrero Hill / Dogpatch,San Francisco,37.759,-122.392,185000,33000,17000,36.0,89.3,87.8,42.8,73.3
94109,Nob Hill / Polk Gulch,San Francisco,37.791,-122.42,110000,56000,33000,40.0,43.5,64.1,62.5,56.7
94114,Castro / Noe Valley,San Francisco,37.758,-122.435,200000,35000,17500,42.0,52.4,64.8,37.7,51.6
94115,Pacific Heights / Fillmore,San Francisco,37.785,-122.433,155000,34000,18000,40.0,66.1,48.8,57.4,57.4
94116,Parkside,San Francisco,37.743,-122.485,135000,45000,15500,44.0,38.8,77.5,46.0,54.1
94117,Haight / Cole Valley,San Francisco,37.769,-122.449,160000,42000,19500,37.0,71.8,87.9,84.0,81.2
94121,Outer Richmond,San Francisco,37.777,-122.493,120000,43000,18000,44.0,69.8,70.0,64.4,68.1
94122,Sunset,San Francisco,37.759,-122.483,140000,62000,23000,40.0,67.9,52.5,54.7,58.4
94124,Bayview,San Francisco,37.733,-122.39,85000,37000,13000,35.0,75.4,43.8,72.8,64.0
