STR-001,SKU-101,341,73,2026-09-01T05:30:00Z
STR-001,SKU-102,284,113,2026-09-01T05:30:00Z
STR-001,SKU-103,345,130,2026-09-01T05:30:00Z
STR-001,SKU-104,246,85,2026-09-01T05:30:00Z
STR-001,SKU-105,178,69,2026-09-01T05:30:00Z
STR-001,SKU-201,212,77,2026-09-01T05:30:00Z
STR-001,SKU-202,152,120,2026-09-01T05:30:00Z
STR-001,SKU-203,382,97,2026-09-01T05:30:00Z
STR-001,SKU-204,135,32,2026-09-01T05:30:00Z
STR-001,SKU-301,241,141,2026-09-01T05:30:00Z
STR-001,SKU-302,191,116,2026-09-01T05:30:00Z
STR-001,SKU-303,165,76,2026-09-01T05:30:00Z
STR-001,SKU-304,121,82,2026-09-01T05:30:00Z
STR-001,SKU-401,60,60,2026-09-01T05:30:00Z
STR-001,SKU-402,95,62,2026-09-01T05:30:00Z
STR-001,SKU-403,86,64,2026-09-01T05:30:00Z
STR-001,SKU-501,34,31,2026-09-01T05:30:00Z
STR-001,SKU-502,24,2,2026-09-01T05:30:00Z
STR-001,SKU-503,42,26,2026-09-01T05:30:00Z
STR-001,SKU-504,36,23,2026-09-01T05:30:00Z
STR-001,SKU-601,66,44,2026-09-01T05:30:00Z
STR-001,SKU-602,90,78,2026-09-01T05:30:00Z
STR-001,SKU-603,162,84,2026-09-01T05:30:00Z
STR-001,SKU-604,84,71,2026-09-01T05:30:00Z
STR-001,SKU-701,21,19,2026-09-01T05:30:00Z
STR-002,SKU-101,190,93,2026-09-01T05:30:00Z
STR-002,SKU-102,284,8,2026-09-01T05:30:00Z
STR-002,SKU-103,221,77,2026-09-01T05:30:00Z
STR-002,SKU-104,136,74,2026-09-01T05:30:00Z
STR-002,SKU-105,193,41,2026-09-01T05:30:00Z
STR-002,SKU-201,237,119,2026-09-01T05:30:00Z
STR-002,SKU-202,250,84,2026-09-01T05:30:00Z
STR-002,SKU-203,285,177,2026-09-01T05:30:00Z
STR-002,SKU-204,194,54,2026-09-01T05:30:00Z
STR-002,SKU-301,226,138,2026-09-01T05:30:00Z
STR-002,SKU-302,251,70,2026-09-01T05:30:00Z
STR-002,SKU-303,219,61,2026-09-01T05:30:00Z
STR-002,SKU-304,277,105,2026-09-01T05:30:00Z
STR-002,SKU-401,353,96,2026-09-01T05:30:00Z
STR-002,SKU-402,149,36,2026-09-01T05:30:00Z
STR-002,SKU-403,153,70,2026-09-01T05:30:00Z
STR-002,SKU-501,47,31,2026-09-01T05:30:00Z
STR-002,SKU-502,37,20,2026-09-01T05:30:00Z
STR-002,SKU-503,23,21,2026-09-01T05:30:00Z
STR-002,SKU-504,41,29,2026-09-01T05:30:00Z
STR-002,SKU-601,42,42,2026-09-01T05:30:00Z
STR-002,SKU-602,91,40,2026-09-01T05:30:00Z
STR-002,SKU-603,127,87,2026-09-01T05:30:00Z
STR-002,SKU-604,100,40,2026-09-01T05:30:00Z
STR-002,SKU-701,18,16,2026-09-01T05:30:00Z
STR-003,SKU-101,265,70,2026-09-01T05:30:00Z
STR-003,SKU-102,291,137,2026-09-01T05:30:00Z
STR-003,SKU-103,358,156,2026-09-01T05:30:00Z
STR-003,SKU-104,80,63,2026-09-01T05:30:00Z
STR-003,SKU-105,165,76,2026-09-01T05:30:00Z
STR-003,SKU-201,178,116,2026-09-01T05:30:00Z
STR-003,SKU-202,125,68,2026-09-01T05:30:00Z
STR-003,SKU-203,467,172,2026-09-01T05:30:00Z
STR-003,SKU-204,57,57,2026-09-01T05:30:00Z
STR-003,SKU-301,381,159,2026-09-01T05:30:00Z
STR-003,SKU-302,297,60,2026-09-01T05:30:00Z
STR-003,SKU-303,63,63,2026-09-01T05:30:00Z
STR-003,SKU-304,105,66,2026-09-01T05:30:00Z
STR-003,SKU-401,111,0,2026-09-01T05:30:00Z
STR-003,SKU-402,95,49,2026-09-01T05:30:00Z
STR-003,SKU-403,158,94,2026-09-01T05:30:00Z
STR-003,SKU-501,47,27,2026-09-01T05:30:00Z
STR-003,SKU-502,34,30,2026-09-01T05:30:00Z
STR-003,SKU-503,30,25,2026-09-01T05:30:00Z
STR-003,SKU-504,18,17,2026-09-01T05:30:00Z
STR-003,SKU-601,107,64,2026-09-01T05:30:00Z
STR-003,SKU-602,36,36,2026-09-01T05:30:00Z
STR-003,SKU-603,124,58,2026-09-01T05:30:00Z
STR-003,SKU-604,136,52,2026-09-01T05:30:00Z
STR-003,SKU-701,27,22,2026-09-01T05:30:00Z
STR-004,SKU-101,290,64,2026-09-01T05:30:00Z
STR-004,SKU-102,194,163,2026-09-01T05:30:00Z
STR-004,SKU-103,317,134,2026-09-01T05:30:00Z
STR-004,SKU-104,165,89,2026-09-01T05:30:00Z
STR-004,SKU-105,127,57,2026-09-01T05:30:00Z
STR-004,SKU-201,184,124,2026-09-01T05:30:00Z
STR-004,SKU-202,204,111,2026-09-01T05:30:00Z
STR-004,SKU-203,194,121,2026-09-01T05:30:00Z
STR-004,SKU-204,74,45,2026-09-01T05:30:00Z
STR-004,SKU-301,131,75,2026-09-01T05:30:00Z
STR-004,SKU-302,104,64,2026-09-01T05:30:00Z
STR-004,SKU-303,145,56,2026-09-01T05:30:00Z
STR-004,SKU-304,191,69,2026-09-01T05:30:00Z
STR-004,SKU-401,148,46,2026-09-01T05:30:00Z
STR-004,SKU-402,137,65,2026-09-01T05:30:00Z
STR-004,SKU-403,96,70,2026-09-01T05:30:00Z
STR-004,SKU-501,24,24,2026-09-01T05:30:00Z
STR-004,SKU-502,21,20,2026-09-01T05:30:00Z
STR-004,SKU-503,39,39,2026-09-01T05:30:00Z
STR-004,SKU-504,19,19,2026-09-01T05:30:00Z
STR-004,SKU-601,122,53,2026-09-01T05:30:00Z
STR-004,SKU-602,133,64,2026-09-01T05:30:00Z
STR-004,SKU-603,133,45,2026-09-01T05:30:00Z
STR-004,SKU-604,50,50,2026-09-01T05:30:00Z
STR-004,SKU-701,16,16,2026-09-01T05:30:00Z
STR-005,SKU-101,61,61,2026-09-01T05:30:00Z
STR-005,SKU-102,431,132,2026-09-01T05:30:00Z
STR-005,SKU-103,222,157,2026-09-01T05:30:00Z
STR-005,SKU-104,190,91,2026-09-01T05:30:00Z
STR-005,SKU-105,192,53,2026-09-01T05:30:00Z
